Kod,Adi
1,KENTSEL KONUT ALANI
2,KIRSAL KONUT ALANI
3,TİCARET ALANI
4,TURİZM ALANI (KONAKLAMA)
5,GÜNÜBİRLİK TESİS ALANI
6,PAZAR ALANI
7,AKARYAKIT VE SERVİS İSTASYONU ALANI
8,TİCARET-KONUT ALANI
9,TİCARET-TURİZM ALANI
10,TİCARET-TURİZM-KONUT ALANI
11,SANAYİ ALANI
12,DEPOLAMA VE LOJİSTİK TESİS ALANI
13,ORGANİZE SANAYİ BÖLGESİ
14,KÜÇÜK SANAYİ SİTESİ
15,TEKNOLOJİ GELİŞTİRME BÖLGESİ
16,ENDÜSTRİ BÖLGESİ
17,SERBEST BÖLGE
18,TERSANE
19,SANAYİ-KONUT ALANI
20,SANAYİ-TİCARET ALANI
21,SANAYİ-TİCARET-KONUT ALANI
22,TARIM VE HAYVANCILIK TESİS ALANI
23,MADEN SAHASI
24,HAFRİYAT ALANI
25,ASKERİ ALAN
26,KAMU KURUMU (YEREL İDARE)
27,KAMU KURUMU (MERKEZİ İDARE)
28,MEYDAN
29,YAYA BÖLGESİ
30,PARK
31,KENT PARKI
32,PANAYIR - FESTİVAL ALANI
33,HAYVANAT BAHÇESİ
34,TARİHİ KORU
35,REFÜJ/ŞEV-YAMAÇ/ÇAYIR
36,AĞAÇLIK ALAN
37,MEZARLIK ALANI
38,ANAOKULU ALANI
39,İLKOKUL ALANI
40,ORTAOKUL ALANI
41,İLK-ORTAOKUL ALANI
42,LİSE ALANI
43,MESLEKİ VE TEKNİK LİSE ALANI
44,ÜNİVERSİTE ALANI
45,ÖZEL EĞİTİM VE REHABİLİTASYON TESİSİ ALANI
46,HAYAT BOYU ÖĞRENME MERKEZİ
47,HALK EĞİTİM MERKEZİ
48,CAMİ/MESCİT ALANI
49,CEMEVİ
50,KİLİSE/ŞAPEL ALANI
51,SİNAGOG ALANI
52,SOSYAL TESİS ALANI
53,KÜLTÜREL TESİS ALANI
54,FUAR-KONGRE ALANI
55,YAŞLI BAKIMEVİ ALANI
56,ÖĞRENCİ YURDU ALANI
57,KREŞ, GÜNDÜZ BAKIMEVİ
58,ÇOCUK YETİŞTİRME YURDU
59,BİRİNCİ BASAMAK SAĞLIK TESİSİ ALANI
60,İKİNCİ BASAMAK SAĞLIK TESİSİ ALANI
61,ÜÇÜNCÜ BASAMAK SAĞLIK TESİSİ ALANI
62,AÇIK SPOR ALANI
63,KAPALI SPOR ALANI
64,KARMA SPOR KOMPLEKSİ
65,KENTSEL VE BÖLGESEL SPOR ALANI
66,ÖZEL SPOR TESİSLERİ
67,KENT ORMANI
68,TABİAT PARKI
69,MESİRE ALANI
70,ARBORETUM
71,ORMAN ALANI
72,MAKİLİK-FUNDALIK ALAN
73,TARIM ALANI
74,SERA
75,KENTİÇİ TARIM ALANI
76,MERA ALANI
77,HAYVANCILIK ALANI
78,KIYI-KUMUL- KAYALIK ALAN
79,KUMSAL - PLAJ ALANI
80,AÇIK OTOPARK
81,KAPALI OTOPARK
82,TIR, KAMYON, MAKİNE PARKI VE GARAJ ALANI
83,TERMİNAL-OTOGAR
84,TOPLU TAŞIMA GARAJI/ANA DURAK
85,İSKELE/RIHTIM
86,LİMAN
87,ANA İSTASYON (GAR)
88,ARA İSTASYON
89,TRİYAJ ALANI 
90,DEMİRYOLU ALANI 
91,HAVALİMANI/HAVAALANI
92,HELİPORT
93,AKTARMA ALANI
94,YAT LİMANI (MARİNA)
95,TEKNE ÇEKEK YERİ/BALIKÇI BARINAĞI
96,KIYI KORUMA YAPISI 
97,GÜNEŞ ENERJİSİ SANTRALİ
98,RÜZGAR ENERJİSİ SANTRALİ
99,DOĞALGAZ İLETİM/DAĞITIM TESİSİ ALANI
100,HİDRO ELEKTRİK SANTRAL ALANI
101,JEOTERMAL TESİS ALANI
102,AKARYAKIT ÜRÜNLERİ DEPOLAMA ALANI
103,YANICI PARLAYICI ve PATLAYICI MADDELER ÜRETİM VE DEPO ALANI
104,ELEKTRONİK HABERLEŞME ALTYAPI ALANI
105,ENERJİ ÜRETİM/DEPOLAMA ALANI
106,TRAFO ALANI / İNDİRİCİ MERKEZLER
107,REGÜLATÖR ALANI
108,ATIKSU TESİSLERİ ALANI (ARITMA-TERFİ MERKEZİ)
109,İÇME SUYU TESİSLERİ ALANI (DEPOLAMA-ARITMA-TERFİ MERKEZİ)
110,SU KAYNAKLARI TOPLAMA YERİ (KAPTAJ ALANI)
111,KATI ATIK TESİSLERİ ALANI
112,TEHLİKELİ ATIK TESİSLERİ ALANI
113,GERİ DÖNÜŞÜM TESİSİ
114,DENİZ
115,GÖL
116,SULAK ALAN
117,AKARSU/DERE
118,BARAJ
119,İNŞAAT ALANI
120,YAPILAŞMAMIŞ ALAN
121,ARKEOLOJİK ALAN
122,METRUK/HARABE
123,MEYDAN-YOP
124,PARK-YOP
125,İLK-ORTAOKUL-LİSE ALANI
126,ÖZEL ÖĞRETİM KURUMU
127,MİLLET BAHÇESİ
128,FİDANLIK
129,MESLEKİ VE TOPLUMSAL ALAN
130,PAZAR ALANI-OP
131,REKREASYON ALANI